Title, Type, Rating 
Family Guy, ,  
The Walking Dead: Daryl Dixon, ,  
The Winter King, ,  
The Continental: From the World of John Wick, ,  
Power Book IV: Force, ,  
The Changeling, ,  
The Wheel of Time, ,  
Krapopolis, HDTV, 1.4 
Last Week Tonight with John Oliver, HDTV, 10.12 
The Simpsons, HDTV, 35.2 
Family Guy, HDTV, 22.2 
Bob's Burgers, HDTV, 14.2 
Heartland, HDTV, 17.2 
The Walking Dead: Daryl Dixon, HDTV, 1.5 
The Winter King, HDTV, 1.6 
Transplant, HDTV, 4.1 
The Continental: From the World of John Wick, HDTV, 1.3 
Shoresy, HDTV, 2.1 
Billions , HDTV, 7.9 
The Real Housewives of Orange County, HDTV, 17.17 
Hell's Kitchen, HDTV, 22.1 
Tacoma FD, HDTV, 4.12 
Power Book IV: Force, HDTV, 2.6 
Taskmaster, HDTV, 16.3 
Still Up, HDTV, 1.5 
The Changeling, HDTV, 1.7 
The Wheel of Time, HDTV, 2.8 
Gen V, HDTV, 1.4 
Loki, HDTV, 2.1 
American Horror Story, HDTV, 12.3 
Beckham, HDTV, 1.1 
The Voice, HDTV, 24.4 
The Amazing Race, HDTV, 35.1 
The Kardashians, HDTV, 4.2 
Our Flag Means Death, HDTV, 2.1 
Archer, HDTV, 14.7 
Star Trek: Lower Decks, HDTV, 4.6 
Quantum Leap, HDTV, 2.1 
Survivor, HDTV, 45.1 
Magnum P.I. , HDTV, 5.11 
Chucky, HDTV, 3.1 
The Masked Singer, HDTV, 10.3 
